Rk,Player,Nation,Pos,Squad,Age,,,Tackles,,,,,Vs Dribbles,,,,Pressures,,,,,,Blocks,,,,,,,,,
37,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,31-177,1991,23.8,61,36,31,23,7,17,47,36.2,30,318,114,35.8,161,121,36,57,24,1,33,24,85,55,2,Matches,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/defense/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_defense"">View Original Table</a><br>Generated 2/20/2021."
38,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,26-315,1989,13.6,26,14,10,10,6,10,16,62.5,6,187,59,31.6,77,74,36,26,4,0,22,16,42,48,1,Matches,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/defense/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_defense"">View Original Table</a><br>Generated 2/20/2021."
39,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,29-182,1994,6.1,8,5,4,3,1,0,0,,0,39,15,38.5,18,20,1,12,11,0,1,16,24,32,0,Matches,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/defense/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_defense"">View Original Table</a><br>Generated 2/20/2021."
40,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,27-349,1991,12,22,13,18,4,0,10,19,52.6,9,118,41,34.7,76,41,1,23,4,0,19,12,34,81,1,Matches,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/defense/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_defense"">View Original Table</a><br>Generated 2/20/2021."
41,Gareth Bale\Gareth-Bale,wal WAL,FW,Tottenham,31-220,1993,19.5,30,13,18,9,3,12,26,46.2,14,265,61,23,114,98,53,26,3,0,23,13,43,43,0,Matches,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/defense/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_defense"">View Original Table</a><br>Generated 2/20/2021."
42,Patrick Bamford\Patrick-Bamford,eng ENG,FW,Leeds United,27-169,1989,2.8,4,2,2,1,1,1,5,20,4,40,8,20,7,21,12,4,1,0,3,2,6,5,0,Matches,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/defense/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_defense"">View Original Table</a><br>Generated 2/20/2021."
43,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,35-238,1993,22.8,18,12,4,8,6,5,20,25,15,360,105,29.2,20,159,181,11,4,0,7,7,25,21,0,Matches,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/defense/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_defense"">View Original Table</a><br>Generated 2/20/2021."
44,Ross Barkley\Ross-Barkley,eng ENG,MF,Aston Villa,27-078,1985,3,6,4,5,1,0,2,4,50,2,39,9,23.1,17,19,3,4,1,0,3,3,9,14,0,Matches,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/defense/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_defense"">View Original Table</a><br>Generated 2/20/2021."
45,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,27-078,1993,11,3,0,2,1,0,2,7,28.6,5,150,36,24,21,87,42,13,2,0,11,3,6,3,0,Matches,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/defense/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_defense"">View Original Table</a><br>Generated 2/20/2021."
46,Ashley Barnes\Ashley-Barnes,eng ENG,FW,Burnley,31-114,1993,0.5,0,0,0,0,0,0,0,,0,5,1,20,2,2,1,0,0,0,0,0,0,0,0,Matches,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/defense/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_defense"">View Original Table</a><br>Generated 2/20/2021."
