Radius,Resolution,Gitter,Distance 1,Distance 2,Highest Vote,Layer 1 mean,Layer 2 mean,Layer 3 mean,Layer 4 mean,Layer 5 mean,Layer 6 mean,Layer 7 mean,Layer 8 mean,Layer 9 mean,Layer 10 mean,Layer 11 mean,Layer 12 mean,Layer 13 mean,Layer 14 mean,Layer 15 mean,Layer 16 mean,Layer 17 mean,Layer 18 mean,Layer 19 mean,Layer 20 mean,Confidence
0.11,0.003,0.01,0.009219544,0.014083703,15,7.125,6,5.145833333,4.9125,4.758333333,4.619047619,4.482142857,4.215277778,3.866666667,3.570454545,3.301136364,3.076923077,2.873626374,2.688095238,2.535416667,2.405330882,2.277777778,2.166666667,2.063815789,1.97202381,0.168433215
0.11,0.003,0.03,0.010761622,0.012707865,13,8.25,6.541666667,5.833333333,5.2875,4.908333333,4.505952381,4.236607143,3.927083333,3.644444444,3.411363636,3.196969697,2.993589744,2.820054945,2.66547619,2.51875,2.389705882,2.266339869,2.154239766,2.046710526,1.950595238,0.146811841
0.11,0.005,0.01,0.009013878,0.010127445,22,12.125,10.66666667,9.770833333,8.5125,7.133333333,6.142857143,5.361607143,4.78125,4.330555556,3.940909091,3.615530303,3.342948718,3.116758242,2.921428571,2.746875,2.59375,2.459150327,2.350146199,2.254605263,2.148809524,0.179862711
0.11,0.005,0.03,0.008498366,0.01143935,15,10,8.416666667,7.729166667,7.0375,6.466666667,5.892857143,5.294642857,4.732638889,4.283333333,3.913636364,3.613636364,3.34775641,3.115384615,2.933333333,2.7875,2.661764706,2.536764706,2.418859649,2.295394737,2.185714286,0.140629548
0.15,0.001,0.01,0.001999397,0.050652276,4,0.375,0.5,0.541666667,0.475,0.441666667,0.398809524,0.370535714,0.378472222,0.344444444,0.336363636,0.314393939,0.301282051,0.291208791,0.280952381,0.266666667,0.261029412,0.248366013,0.244152047,0.233552632,0.229761905,0.369231063
0.15,0.001,0.03,0.004127987,0.049477268,4,0,0.125,0.166666667,0.1625,0.241666667,0.238095238,0.272321429,0.298611111,0.305555556,0.293181818,0.287878788,0.274038462,0.270604396,0.253571429,0.252083333,0.240808824,0.235294118,0.233918129,0.225657895,0.227380952,0.464854944
0.15,0.003,0.01,0.0109252,0.046541797,9,3.375,2.541666667,2.291666667,2.0125,1.908333333,1.791666667,1.691964286,1.59375,1.530555556,1.495454545,1.481060606,1.399038462,1.354395604,1.305952381,1.272916667,1.232536765,1.215686275,1.196637427,1.165789474,1.160119048,0.214200593
0.15,0.003,0.03,0.028369394,0.053184795,8,4.25,3.375,2.979166667,2.55,2.266666667,1.988095238,1.830357143,1.697916667,1.625,1.563636364,1.547348485,1.496794872,1.449175824,1.429761905,1.39375,1.382352941,1.348039216,1.301169591,1.277631579,1.255357143,0.17388575
0.15,0.005,0.01,0.008838835,0.046768949,12,5.625,4.333333333,3.520833333,3.1,2.883333333,2.744047619,2.558035714,2.454861111,2.3,2.195454545,2.102272727,2.083333333,2.093406593,2.108333333,2.084375,2.048713235,2.013071895,2.007309942,2.030921053,1.989285714,0.186695105
0.15,0.005,0.03,0.008223557,0.053621101,9,5.5,4.375,4.041666667,3.625,3.166666667,2.845238095,2.602678571,2.465277778,2.363888889,2.247727273,2.153409091,2.078525641,2.027472527,2.001190476,2.025,2.03125,2.017156863,2.012426901,2.008552632,1.976190476,0.143851962
