lower_seed_won,seed_diff,season,round,days_from_epoch,game_date,day,win_seed,win_region,win_market,win_name,win_alias,win_team_id,win_school_ncaa,win_code_ncaa,win_pts,win_CONF,win_YEAR,win_G,win_W,win_ADJOE,win_ADJDE,win_BARTHAG,win_EFG_O,win_EFG_D,win_TOR,win_TORD,win_ORB,win_DRB,win_FTR,win_FTRD,win_2P_O,win_2P_D,win_3P_O,win_3P_D,win_ADJ_T,win_WAB,lose_seed,lose_region,lose_market,lose_name,lose_alias,lose_team_id,lose_school_ncaa,lose_code_ncaa,lose_pts,num_ot,academic_year,key
0,0,2015,68,16512,3/18/15,Wednesday,11,W,Dayton,Flyers,DAY,632616c5-2dbb-4017-a449-c9dfc303f026,Dayton,175,56,A10,2015,36,27,107,94.5,0.8059,52.9,47.3,17.9,21.1,23.3,28.4,48.1,30.6,52.6,46.5,35.6,32.5,63.8,0.8,11,W,Boise State,Broncos,BSU,c1c54dbf-805c-47fc-a707-c803e94db2a4,Boise St.,66,55,0,2014,Boise St..2015
0,5,2015,64,16514,3/20/15,Friday,11,W,Dayton,Flyers,DAY,632616c5-2dbb-4017-a449-c9dfc303f026,Dayton,175,66,A10,2015,36,27,107,94.5,0.8059,52.9,47.3,17.9,21.1,23.3,28.4,48.1,30.6,52.6,46.5,35.6,32.5,63.8,0.8,6,W,Providence,Friars,PROV,7d3b9c72-cbdd-4b64-9aa3-a5bde9b75fdc,Providence,556,53,0,2014,Providence.2015
1,3,2015,64,16514,3/20/15,Friday,7,X,Iowa,Hawkeyes,IOWA,c10544de-e3bd-4776-ba2e-83df8c017fd1,Iowa,312,83,B10,2015,34,22,114,92,0.9211,48.1,45.6,17.1,18.9,35.6,30.3,38,29.1,47.3,43.7,33.3,32.6,64.6,2.1,10,X,Davidson,Wildcats,DAV,2920c5fa-1e86-4958-a7c4-1e97b8e201d8,Davidson,173,52,0,2014,Davidson.2015
1,9,2015,64,16513,3/19/15,Thursday,4,X,Georgetown,Hoyas,GTWN,8736b67f-5924-400b-bf94-3bd804c36600,Georgetown,251,84,BE,2015,33,22,112.6,93.5,0.8945,51.3,47.1,19.2,20.2,34.3,31,43.9,44.1,50.5,43.1,35.3,36.2,64.6,3.7,13,X,Eastern Washington,Eagles,EWU,54df21af-8f65-42fc-bc01-8bf750856d70,Eastern Wash.,207,74,0,2014,Eastern Wash..2015
1,13,2015,64,16514,3/20/15,Friday,2,Y,Kansas,Jayhawks,KU,fae4855b-1b64-4b40-a632-9ed345e1e952,Kansas,328,75,B12,2015,36,27,113.6,90.6,0.9308,49.4,44.6,19.2,17.5,34.9,31.6,42.6,33.8,46.4,43.4,37.9,31.5,67.2,9,15,Y,New Mexico State,Aggies,NMSU,5016fe1a-9571-4d10-bf5b-b9c1b496bd57,New Mexico St.,472,56,0,2014,New Mexico St..2015
1,7,2015,64,16514,3/20/15,Friday,5,Y,West Virginia,Mountaineers,WVU,f770d3a2-221c-49ce-9c7a-680f7417fe9e,West Virginia,768,68,B12,2015,35,25,110.3,93.3,0.8733,46.1,52.7,18.7,28,40.1,31.1,40.4,55.5,45.5,51.8,31.6,36.5,68.6,4.1,12,Y,Buffalo,Bulls,BUFF,a9f5c9a2-342c-4881-9996-5d5c05ec9bd9,Buffalo,86,62,0,2014,Buffalo.2015
0,1,2015,32,16516,3/22/15,Sunday,5,Y,West Virginia,Mountaineers,WVU,f770d3a2-221c-49ce-9c7a-680f7417fe9e,West Virginia,768,69,B12,2015,35,25,110.3,93.3,0.8733,46.1,52.7,18.7,28,40.1,31.1,40.4,55.5,45.5,51.8,31.6,36.5,68.6,4.1,4,Y,Maryland,Terrapins,MD,2778d005-cc14-4e58-9bf2-3fc37bffb62f,Maryland,392,59,0,2014,Maryland.2015
1,5,2015,64,16513,3/19/15,Thursday,6,Z,Xavier,Musketeers,XAV,0d8a328f-20ce-410b-bed1-15fc01308aaf,Xavier,812,76,BE,2015,37,23,115.7,95.1,0.9049,53.3,50,18.1,18.8,31.3,27.3,38.5,33.3,53.7,48.9,35.1,34.6,65.5,1.3,11,Z,Ole Miss,Rebels,MISS,d7d668ec-edaa-4d6b-be25-2ebba4128643,Ole Miss,433,57,0,2014,Ole Miss.2015
1,8,2015,32,16515,3/21/15,Saturday,6,Z,Xavier,Musketeers,XAV,0d8a328f-20ce-410b-bed1-15fc01308aaf,Xavier,812,75,BE,2015,37,23,115.7,95.1,0.9049,53.3,50,18.1,18.8,31.3,27.3,38.5,33.3,53.7,48.9,35.1,34.6,65.5,1.3,14,Z,Georgia State,Panthers,GAST,94ea835b-8ce9-4de2-a5b1-971548fea974,Georgia St.,254,67,0,2014,Georgia St..2015
0,11,2015,64,16513,3/19/15,Thursday,14,Z,Georgia State,Panthers,GAST,94ea835b-8ce9-4de2-a5b1-971548fea974,Georgia St.,254,57,SB,2015,34,24,109.5,98,0.7802,52,45.8,16.3,23.2,30,34.8,37.7,39.8,53.4,43.1,32.2,33.1,63.2,-3,3,Z,Baylor,Bears,BAY,db6e1cab-3fa3-4a93-a673-8b2a358ff4bf,Baylor,51,56,0,2014,Baylor.2015
